Title,No. of answers,No. of views,No. of votes,Users,Reputation,Time_stamp,Summary
"Proof that (∇f(x)−∇f(y))T(x−y)≥0 ∀ x,y⇒f is convex",0,39,0,convex-optimization,1,2023,"Proof that (∇f(x)−∇f(y))T(x−y)≥0 ∀ x,y⇒f is convex.
I've differentiated both 2 sides and got this:
$\nabla^2 f(x)^T(x-y) + \nabla f(x) - \nabla f(y) \succeq ..."
How are two random variables with same mean and different variances are stochastically ordered?,0,29,0,probability-theory,135,2023,Suppose that we have a random variable X that is normaly distributed with mean μx and variance σ2x<∞. Any other normal random variable Y with the same mean as the random ...
Relation between row spaces of matrices and matroids over them.,0,83,0,linear-algebra,"3,461",2023,"For matrices A1 and A2 over a field F, each having n columns,
1- I do not know why If R(A1)=R(A2), then M[A1]=M[A2]. Could someone clarify this to ..."
How to simplify an equation based on relationship of the 2 unknown values?,0,21,0,linear-algebra,1,2023,"I know that k =(d*b)+a.
And i have equations:
k = s^-1*(z+r*d) mod n
d = r^-1*(s*k-z) mod n

I want to apply the relationship ..."
Show that integral operator with logarithmic kernel is smooth,0,18,0,real-analysis,588,2023,"currently I am trying to solve the following question: Let f∈C∞0(C) and consider the following two integral operators. First we have the Cauchy integral operator given by
$$
C[f]..."
Show that integral operator with logarithmic kernel is smooth [duplicate],0,10,0,real-analysis,588,2023,"currently I am trying to solve the following question: Let f∈C∞0(C) and consider the following two integral operators. First we have the Cauchy integral operator given by
$$
C[f]..."
A question on something relating to analytic continuation of a Γ()-based function,0,25,0,calculus,129,2023,"f(s)=Γ(s)2s−1, (−1<Re(s)<0:fundamental strip)
There exsists γ that 0<Re(s)≤γ, such that f(s)=O(|s|−p),(p>1)
That is, How to ..."
Complex equation |z|6=ˉz3+15z3−64,2,134,1,algebra-precalculus,243,2023,"I need to solve the following complex equation:
|z|6=ˉz3+15z3−64.
If I set z=|z|eiϕ, I get
|z|6=|z|3e−i3ϕ+15|z|3ei3ϕ−64
For ϕ=0 the solution is z=2. What is ..."
"If f is a submodular function, does g(k)=max|A|=kf(A) have diminishing returns?",0,13,0,combinatorics,925,2023,"A submodular function has diminishing returns, so I expect the following: if f is submodular, then g(k)=maxA⊆Ω,|A|=kf(A) would also have diminishing returns, that is $g(k+1)..."
Why is sum of 2 rolls is not calculated another way?,4,80,-1,probability,31,2023,"Question: what is the probability of getting a sum of 5 using a pair of dice?

I am aware of the solution being, choosing one face for each dice - that gives total 36 possibilities in the sample ..."
Proofs with ln(x) and ex,0,72,0,algebra-precalculus,1,2023,"I see natural logarithms as being defined as:
ln(x)=limh→0xh−1h
And e being defined as ln(e)=1. How would you prove, using these definitions, that:

The graph of y=ex..."
Proof check of non existence of solutions in the Natural Numbers to a2+b2a2−b2 + little doubt in the last line,1,31,2,solution-verification,25,2023,"I am currently practicing my proof writing skills and found a problem that asked to prove that there are not solutions in the natural numbers to :a2+b2a2−b2
(a and b are ..."
Prove that the sequence(xn)=12(xn+axn) where x1=1 and a>1 is convergent [duplicate],1,43,0,real-analysis,105,2023,"So I have a sequence (xn)=12(xn+axn) where a>1 and x1=1.
I have to prove it is convergent.I tried with induction to prove that
a≤x2n because from that I can ..."
"C is a convex set in Rn. For any x∈∂C, can we always construct {xn}⊂Rn∖cl(C) s.t. xn→x?",0,30,1,general-topology,21,2023,"I found this statement in a proof of separating hyperplane theorem:
C is a convex set in Rn. For any x∈∂C, there exists {xn}⊂Rn∖cl(C) such that $x_n \..."
While solving a physics question I came upon a sort of differential equation that I could not quite solve,1,87,0,ordinary-differential-equations,90,2023,"Please ignore my writing. Here is the question:
""A charged particle having charge q and mass m is projected into a region of electric field E with its intial velocity v perpendicular to $..."
∫∞0uu2+σ2J4m(u)du=K4m(σ)+?,2,153,7,calculus,613,2023,"As I delved into the intricacies of a fluid mechanics problem that revolved around Green's functions in porous media, I stumbled upon the following intriguing infinite integral:
$$
\phi_m (\sigma) = \..."
Differentiable equation to find unique values of an array,0,13,0,calculus,1,2023,"I am writing a custom loss function for a deep learning algorithm. The loss function should be such that it penalizes unique values in an array (image, specifically the AB parts of LAB image). The in-..."
Precise statement of Poincaré duality,1,89,4,differential-geometry,"2,362",2023,"Let (M,g) be a (not-necessarily compact) oriented, connected Riemannian manifold. Lets consider the pairing
$$\Omega^{k}(M)\times\Omega^{d-k}_{c}(M)\to\mathbb{R}, (\alpha,\beta)\mapsto\int_{M}\alpha\..."
Integral Representation of ζ2(3) based on ∫10lnms⋅lnn(1+s)1+sds,1,208,8,calculus,"2,409",2023,"Using Integer Relation Algorithms, I was able to arrive at the following :
$$12\zeta^2(3)=-40\int_{0}^{1}\frac{\ln s\ln^{4}(1+s)}{1+s}ds+40\int_{0}^{1}\frac{\ln^{2}s\ln^{3}(1+s)}{1+s}ds-44\int_{0}^{1}\..."
Optimal control with state jumps and state equality constraint,0,28,1,optimization,11,2023,"The maximization problem
I want to solve the problem
maxx(⋅),y(⋅),u(⋅)∫Tt0f(x(t),t)g(t)dt
subject to
\begin{align}
 &x(t)t -  x(t)..."
Card Game Combination,0,25,1,probability,19,2023,"I am building a table top card game. The goal of the game is to build a sentence from 3 cards.
There are 3 cards types you need to find and place them in order. For an example:

Beginning of sentence
..."
Infinite group without a subgroup isomorphic to Z?,1,68,0,group-theory,645,2023,"I am looking for examples of infinite groups in which no subgroup is isomorphic to Z. Some of the examples I can think of are: $$\prod_{i=1}^\infty \mathbb{Z}_2, \quad \bigcup_{i=1}^\infty ..."
A lemma used in Lindemann-Weierstrauss Theorem,0,27,0,elementary-number-theory,35,2023,"Below is a question given in exercises of book of Galois theory by Patrick Morandi which is used in the proof Lindemann-Weierstrauss theorem. Let
$$
\sum_{i=1}^r a_i x^{\alpha_i} \text { and } \sum_{i=..."
Probability analysis in passengers taking trains in a FCFS way under capacity constraint,0,25,0,probability,43,2023,"Suppose there are two trains:

Train 1 and Train 2 have different departure times (t1 and t2) and capacities (c1 and c2).
There are two types of passengers, Type 1 with d1 passengers ..."
Existence of matrix units of infinite cardinality in a properly infinite von Neumann algebra,1,42,0,operator-algebras,"2,850",2023,Suppose M is a properly infinite von Neumann algebra. Can we find a n×n self-adjoint system of matrix unit whose cardinality is infinite? That is the existence of {Ea}a∈I...
Methods of Analysis: Sequence and Convergence,1,41,-1,education,11,2023,"A,B⊂R are non-empty bounded sets, with α=sup(A),B=sup(B).
Z∈R Prove that Z+A={Z+x:x∈A} is bounded and sup(Z+A)=Z+α.
So far in my proof I have: $∀ x ∈ A. x ≤ α, Z + x ..."
Probability a group is unrepresented,2,36,1,probability,89,2023,"11 students from each of Engineering, Science, Humanities, and Social Science were nominated to represent their faculties. 7 of these 44 students will be randomly chosen to be on the student council. ..."
Number of solutions to f2023(x)=x23,0,231,0,calculus,21,2023,"I have to find how many solutions there are for the following problem for my Introduction to Calculus course:
$$
\begin{split}
f_1(x) &= |x^2 - 1| \\
& \;\vdots\\
f_{2023}(x) &= \frac{x}{..."
Matrix equality conjecture,1,48,2,linear-algebra,41,2023,"T1 and T1 are any real, square, lower-triangular, toeplitz matrices of dimension p>1.
Let [T1T2]B denote the $p\..."
"Why Do we add only numerators. Is this concept related to how we add ""integers""?",0,56,-1,discrete-mathematics,1,2023,"Why does adding 3/6 and 1/6 result in 4/6 rather than 4/12? Is it because we add the numerators when adding fractions, similar to how we add integers without altering their denominator ""1""? ..."
If subset of domain of isomorphism is subspace iff image of subset is subspace of image of isomorphism [duplicate],0,19,-1,linear-algebra,331,2023,"I am having hard time to come with counterexample of non-isomorphic linear map f, where this statement does not hold:
Let f:V→W be an isomorphism.
Then M⊆V is linear ..."
Does |→xn+m|≤|→xn+→xm| imply the convergence of {→xn/n}?,1,132,3,real-analysis,No detail available,2023,"Let d≥1 be a positive integer. If {→xn}∞n=1 is a sequence of d-dimensional vectors satisfying $$|\vec x_{n+m}|\leq |\vec x_n+\vec x_m|\qquad \text{for all }n,m\in\mathbb N_{\..."
"If 4x+4−x=5, what is 8x+8−x?",3,183,5,algebra-precalculus,No detail available,2023,"I found this competition math problem that I haven't been able to solve.

If 4x+4−x=5, find 8x+8−x.

Setting a=4x, we see the problem is equivalent to saying:

If $a + a^{-1} = ..."
does the series ∑|(−1)n√n(1+(−1)n√n)| converge?,1,84,0,sequences-and-series,397,2023,"Does the series Sn=∑|(−1)n√n(1+(−1)n√n)| converge?
I could arrive at $S_n = \sum \bigg{|}  \left(\frac{1}{\sqrt{n}} + \frac{(-1)^..."
Example about Picard-Lindelöf theorem,0,31,1,real-analysis,61,2023,"Let I⊂R be an open interval, x0∈I and Ω⊂I×R such that (x0,y0)∈Ω.
Picard-Lindelöf theorem states that the IVP
\begin{equation}
\frac{dy}{..."
Limit question involving prime numbers [closed],1,45,2,number-theory,49,2023,"Can anyone help me show that:
$$\lim_{n\to\infty} \frac{\frac{n}{(\ln(n))^2} + \frac{2\sqrt{n}}{\ln(n)} - \sum_{p \leq \sqrt{\frac{n}{2}}}\frac{\frac{n}{p^2}}{(\ln(\frac{n}{p^2}))^2}}{\sqrt{n}\ln(n)} =..."
"Iff k divides n then, xk−ak divides xn−an [duplicate]",0,37,-1,elementary-number-theory,1,2023,"The question is regarding divisibility. I am unable to prove this identity.
Previously I have seen this version of this question:
xk−1 divides xn−1 IFF k divides n.
Please some one prove ..."
"Question on the ""range"" of f(x)=2x",1,106,4,algebra-precalculus,964,2023,"From a high school (Algebra II) quiz:
If the domain of f(x)=2x is the positive rational numbers, what is the range?
Since ""range"" can be ambiguous at this level, let's assume it means the ..."
Differential operators of tensor fields. Hamilton operator,0,38,0,differential-geometry,175,2023,"The very first thing my textbook says is that the Hamilton operator is defined as:
→∇=→ai∇i
Where ∇i is the covariant derivative and "" →ai is the ..."
Would a straight line between two points on a sinusoidal map be the same as the geodesic between those points on a sphere's surface?,0,30,2,differential-geometry,31,2023,Recently I've been trying to find the relationship between a Mercator map ( whose coordinates I'll express with x and y ) and the surface of a sphere such as a globe ( whose coordinates I'll express ...
Definition of local homeomorphism,2,118,4,general-topology,41,2023,"According to Wikipedia :

A function f:X→Y between two topological spaces is called a local homeomorphism if every point x∈X has an open neighborhood U whose image f(U) is open in Y and ..."
Get the k-th permutation of n distinct items ignoring direction.,1,48,2,combinatorics,23,2023,"I have a set of n distinct items, and I want to retrieve the k-th lexically-sorted permutation, yet ignoring its direction (e.g. [1,2,3,4] = [4,3,2,1]). These elements would be considered ..."
How to evaluate: ∫10xex−exx2−2xex+e2xdx,1,100,4,calculus,"1,945",2023,"So my younger friend who loves math (whom I have mentioned before), came up with an integral for me to evaluate, this time being∫10xex−exx2−2xex+e2xdxwhich I thought that I ..."
Infinite Ramification Places of Finite Extension,1,54,1,abstract-algebra,77,2023,"Let F/K be an algebraic function field, with constant field K=KF, and L/F be an finite extension.
Is it possible that infinitely many places of L ramifiy?
Somehow I feel that it is not ..."
Second order approximation of a differentiable functional,1,33,2,calculus,"1,306",2023,"I would like to solve the following problem

If J is a functional twice differentiable from a normed space to R, prove that

$$
J(u+w) = J(u) + J’(u)w + \frac{1}{2}J’’(u)(w,w) + o(\lVert ..."
Partitioning a probability on the set of a determinstic variable,1,35,0,probability,263,2023,"Are the following probability expressions the same? If so why? In my opinion it is the same but I don't know how one would prove it formally.
PS[f(S,z)≥c,∀z∈A]
and
$$\..."
What is the probability distribution of elements in a vector obtained by the product of the given matrix and vector?,1,47,1,matrices,13,2023,"Given a vector with elements sampled from a Gaussian distribution, and also given a matrix with elements sampled from the other independent Gaussian distribution.
What is the probability distribution ..."
How do we use generating functions to find letter permutations?,1,52,1,combinatorics,131,2023,"I have been going through this example to understand how to use generating functions.
Here is the question:

How many 6-letter permutations can be formed using only the letters of the word, ..."
Calculating combinations without repetitions [closed],1,43,0,combinatorics,19,2023,"So, regarding this assignment, I have to create a team, with three workers and one boss. I have ten people to choose from. That would mean, that it is a question of combinations without repetitions. I ..."
Interchange of limits and infinite sums,2,89,1,real-analysis,43,2023,"Let (fn) be a sequence of functions [−1,1]→R and suppose that ∑∞n=0fn(h) converges pointwise in [−1,1] to a function f(h). Furthermore, suppose that $\lim_{n\to\..."
"Determine the integers x and y, knowing that it verifies the relation: x3−x2y+xy2−y3=2023",2,119,4,integers,370,2023,"Determine the integers x and y, knowing that it verifies the relation:
x3−x2y+xy2−y3=2023
My idea
We can write the given relation as
(x2+y2)(x−y)=2023=7⋅172
I wonder if we can ..."
Winding number of composition equaling zero implies existence of complex logarithm,0,31,0,complex-analysis,609,2023,"I have an open and connected set V that is also simply connected. Let a1,…,an∈V and set U=V∖{a1,…,an}. Let BRi(ai) be disjoint balls around each ai ..."
"Show that if M is an R-module that contains a free submodule N of rank n such that M/N is torsion, then M is of rank n.",1,46,0,modules,694,2023,"Assume that R is and integral domain.

If M is an R-module that contains a submodule N free of rank n, such that M/N is a torsion R-module, then M is of rank n.

My reasoning:
That $..."
Wallis Reduction Formula using Factorials and Exponents,0,20,-2,definite-integrals,1,2023,"https://en.wikipedia.org/wiki/Wallis%27_integrals?wprov=sfla1
In the above page I found that I could not work out the recurrence formula in terms of exponents and factorial..
It would be highly ..."
Evaluating the derivative of y=1/x,2,60,0,calculus,43,2023,"If you look closely in step 4,delta x is multiplied with 1/delta x in the first numerator and last denominator.
The rules of fractions are :
A/B/C=AC/B. Isn't this a discrepancy?
y=1x
$$
\..."
generating sequences of functions,0,16,0,real-analysis,59,2023,"I have read the following theorem from Apostol's analysis.

Let α be of bounded variation on [a,b]. Assume that each term of the sequence {fn} is real valued function such that $f_n \in ..."
Fixed Point in Uniformly Convex Banach Space and Bounded Subset,0,46,0,functional-analysis,9,2023,"The problem is
""Let K be a bounded, closed, convex subset of a uniformly convex
Banach space X and F:K→X be a nonexpansive map with inf||x−F(x)||:x∈K=0
Show that ..."
Is pullback along a simplex really a fibre?,1,62,2,category-theory,23,2023,"I know that the question could be posed for any presheaf category, but simplicial sets are the only one having a name for natural transformations from representables, so I'll stick with that.
So, go ..."
Combinatorial Proof for the Number of Squares in a Grid,2,49,1,combinatorics,47,2023,"I am exploring combinatorial methods to solve a problem related to counting the number of squares in a grid. Given an 'a x b' grid of evenly spaced points, I want to understand how to determine the ..."
ODE: How can I solve it? [closed],0,72,1,ordinary-differential-equations,23,2023,"I want to solve this equation, but I have never solved  ODE like this. Can you help me?
a2z2(y(z)′2+y(z)y(z)″
where a,b and c are ..."
"For u \in \mathrm{H}^s\left(\mathbb{R}^n\right) with s>n / 2, show that \lim _{x \rightarrow \infty} u(x)=0. [duplicate]",0,20,1,functional-analysis,11,2023,"I was thinking about using Sobolev imbedding theorem. Let s>m / 2. Then

H^s\left(\mathbb{R}^m\right) \hookrightarrow C_b\left(\mathbb{R}^m\right) .

That is
$$
H^s\left(\mathbb{R}^m\right) \..."
eigenvalue of a 'norm' matrix,1,41,1,linear-algebra,111,2023,"Suppose \lambda_1,\cdots,\lambda_n distinct real numbers, and matrix A=(a_{ij})_{n\times n} is defined as

a_{ij}=|\lambda_i-\lambda_j|.

I guess A has a positive eigenvalue and n-1 ..."
"Given a multivariate normal density to find E[X], E[Y], E[Z], and σ[YZ]. [closed]",0,87,0,expected-value,1,2023,"Given a multivariate normal density1, we want to find E[X], E[Y], E[Z], and σ[YZ].
I don't know how to find these. Does anyone know how to do this?"
Half Derivatives in Maxima,0,26,0,maxima-software,13,2023,"Is it possible to take the half derivative of a function in maxima? I tried the following:
..."
is there any unit upper triangular matrix in GL_n(F_p) such that the following holds,0,43,1,linear-algebra,115,2023,"Let U_1 be the group of n\times n upper triangular matrices with 1's down the main diagonal (called unit upper triangular matrices) over \mathbb{F}_p , which is also a Sylow p-subgroup of $G=\..."
Why does taking the tangent line improve the approximation in Newton's method?,4,91,0,real-analysis,13,2023,"I have gained a comprehension of the operational process through the discussion located at Why does Newton's method work?. Nevertheless, there is one aspect that remains unclear to me.
To initiate,..."
How to prove this inequality about trigonometric polynomial？,0,65,0,inequality,1,2023,"Problem statement:
Define T_n(x)=\frac{a_0}{2}+\sum_{k=1}^{n}{(a_k\cos kx+b_k\sin kx)} be a real valued trigonometric polynomial on [-\pi,\pi].Prove that
$$\mathop{max}\limits_{-\pi\le x \le \pi}{|..."
Showing that a set is periodic,0,42,0,set-theory,271,2023,"A set of the real line is called periodic if it can be written in the form

S= L \mathbb Z + \{ a_1,\dots, a_n \} = \{ Ln+a_j : n \in \mathbb Z , j = 1, \dots, n \}

where L \neq 0 is a nonzero ..."
a problem on function and set,0,34,0,abstract-algebra,124,2023,"Let F denote the set of all functions f:\Bbb{R \to R} and let Q\subset F be the subset of all continuos f  then prove that \Bbb{|R|=}|C|<|F|
Just give me a hint don't give a full solution"
"Are antipodes of free, finite rank Hopf algebras over general rings invertible?",1,12,0,hopf-algebras,"1,448",2023,"It is a well-known result by Larson and Sweedler that, for finite-dimensional Hopf algebras over a field, the antipode is always a linear isomorphism.
My question is whether this property still holds ..."
Graph coloring connection-contraction,1,46,1,graph-theory,351,2023,"I know that given a graph G we can find its chromatic polynomial using the deletion-contraction algorithm as P_G(k) = P_{G \setminus e}(k) - P_{G/e}(k).
Apparently there is an equivalent approach ..."
"What does ""take over"" mean in the ""the inf being taken over all countable coverings of E by open elementary sets""?",2,305,2,real-analysis,133,2023,"I'm studying real analysis with Rudin Principles of Mathematical Analysis textbook.
I'm confused about the expression ""the inf/sup being taken over ~~""  in several definitions.
In principles ..."
What is the algorithmic complexity of knot equivalence?,0,28,2,manifolds,"1,922",2023,"Question. Given two (tame) knots by their link diagrams, what is the algorithmic complexity (e.g. time in the size needed to store the link diagrams) to decide if the represented links are isotopic?
..."
How to determine flatness,1,99,-1,commutative-algebra,9,2023,"Let k be a field and define R=k[x,y]/(xy) and an R-Algebra A=k[x]\times k[y]=R/(y)\times R/(x). I have to answer two questions

Is k[x]=R/(y) flat over A
Is A flat over R

I don't ..."
How to work with quasi-projective varieties?,0,82,2,algebraic-geometry,23,2023,"I am taking a course in algebraic geometry (scheme theory), and we began by introducing algebraic varieties and projective varieties as zero sets of equations of polynomials (homogeneous in the ..."
Convergence of Lie Series,0,41,1,taylor-expansion,11,2023,"In the answer to this question the Lie Series result

  \boxed{ \; e^{t \phi(x) \frac{d}{dx}} f(x) = f\left(e^{t \phi(x) \frac{d}{dx}} x\right) \; }

was mentioned. Now for f(x) analytic and ..."
Calculating conditional expected value,0,15,-1,conditional-expectation,61,2023,"For example if I have some random variable \epsilon_t with E\epsilon_t=0 and Var\epsilon_t<\infty. I want to show E[\prod_{t=1}^\infty\epsilon_t|F_{t-1}]=0
where F_{t-1} is generated by ..."
An algebraic stack as a non-linear analog of a complex of vector spaces,1,105,4,algebraic-geometry,"1,383",2023,"In their paper Derived Quot Schemes Kapranov and Ciocane-Fontanine write in the introduction:

Indeed, an algebraic stack is a nonlinear analog of a complex of vector spaces situated in degrees $[-1,0]..."
"Let X,Y and Z be subspaces of a vector space W with dimension n. Show that if dim(X)+dim(Y)+dim(Z)>2n then X \cap Y \cap Z \neq \{0\}.",2,81,0,linear-algebra,11,2023,"Let W be a vector space with \dim W = n < \infty and let X,Y and Z be a subspaces of W. How can i prove that if
$$\dim(X) + \dim(Y) + \dim(Z) > 2n \ \implies X \cap Y \cap Z \ne \{0\}. ..."
"Find the number of all ordered pairs (a,b,c,d,e,f) of a+b+c+d+e+f=11,a+b\le c+d\le e+f",1,93,1,combinatorics,"5,398",2023,"Find the number of all ordered pairs (a,b,c,d,e,f) of nonnegative integers a, b, c, d, e, and f that satisfy the following equation.
a+b+c+d+e+f=11
a+b\le c+d\le e+f
Using ..."
T : V \longrightarrow W injective \Leftrightarrow  dim V \leq dim W (infinite dimensional vector spaces),1,42,0,linear-algebra,385,2023,"I'm studying to get into a Master's degree in Pure Mathematics in Brazil and I came across this question:
Let V and W vector spaces of arbitrary dimensions (finite or infinite). Show that exists $..."
Locus of circle using complex numbers,2,179,2,geometry,71,2023,"I was going through Locus of circle using complex numbers and got stuck on one particular manipulation.
We know that |z-z_1|=r represents a circle whose centre is z_1 and radius r. Now in the book ..."
Learning Rotation SO(3) and translations on signed distance functions,0,25,0,rotations,135,2023,"Background
Signed distance function (SDF) is a function f(x):R3↦Rf(x):R3↦R, which describe the signed distance of x∈R3x∈R3 to the 3D surfaces SS. I managed to ..."
Fundmental groups of matrix groups and covering relation between them [closed],0,57,2,algebraic-topology,163,2023,"I am self studying algebraic topology, the fundamental groups and covering spaces and homologous groups.
I have read the topological properties of classical matrix groups like connectedness, path ..."
Similar short exact sequences where the first abelian group is different,1,61,1,group-theory,25,2023,"I am trying to get a better understanding of short exact sequences of abelian groups. I know that if
0→A→B→C→00→A→B→C→0
and
$0 \rightarrow A' \rightarrow B' \..."
"Determining the Functional Completeness of the Set {⇔, ∧, 0}",1,30,1,discrete-mathematics,47,2023,"I am seeking assistance in determining whether the set {⇔, ∧, 0} is functionally complete in propositional logic. To do so, I have attempted to represent logical operators using this set {!, ∧, ∨}. ..."
Understanding this step in finding the transition matrix,1,38,0,linear-algebra,771,2023,"There's such a problem about finding the transition matrix.

Let A=⎡⎣⎢211612−15−5−6⎤⎦⎥A=[26−1511−512−6], find non-singular matrix PP such that $\..."
Intuitive explanation of perspective vs. projection in geometry,1,76,0,math-history,545,2023,I was wondering if someone could please explain the intuition of the distinction between perspective and projection in geometry. Chapter 8 of John Stillwell's Mathematics and its History begins by ...
Understanding the construction of the split extension of group,1,88,7,abstract-algebra,349,2023,"This is the 2nd part of another question, mainly general extension. Please have a look to understand the notation. A brief description was copied from that thread,

Let ϕϕ be an isomorphism of $G/..."
Show there is no isomorphism between a subgroup of QQ and Z×ZZ×Z [duplicate],1,66,0,group-theory,15,2023,"I am currently working on a problem trying to prove that there is no subgroup  HH of QQ such that H≅Z×ZH≅Z×Z.
I was able to show that QQ cannot be ..."
Changing the ∀ quantifier to the ∃ quantifier,1,93,1,logic,13,2023,"I am tasked with changing the ∀∀ quantifier with the ∃∃ quantifier. However, I am not sure, whether I understood it correctly, and would like to ask for help.
As I understood, the ..."
(LL is an affine space of dimension one) ⇔⇔ (LL is a line),1,25,1,real-analysis,175,2023,"Definition (I):
Let x,y∈Rnx,y∈Rn with x≠yx≠y.
A line in RnRn  is defined as the subset L={t(y−x)+x|t∈R}⊂RnL={t(y−x)+x|t∈R}⊂Rn.
Statement: (LL is an affine ..."
Finding another encoder for a given code,0,34,0,linear-algebra,85,2023,"I am a newcomer in Coding Theory and I am trying to solve the following question:
\begin{equation*}
\text{Let}\ \mathscr{C} \subset \mathbb{F}_3^4 \text{ be a code}, \text{with racio } 2/4, \text{and ..."
Questions regarding the construction of nilpotent matrices in light of certain characteristics,0,13,0,linear-algebra,13,2023,"I have some questions regarding nilpotent matrices.  I know that the trace of an n x nn x n nilpotent matrix must be zero and that the rank of that matrix must be less than nn.
Thus, the determinant ..."
Why does my finite difference implementation for a 1-D 4th order differential equation not work?,1,55,0,ordinary-differential-equations,115,2023,I am trying to solve a 1-D 4th order differential equation using finte difference method. I am implementing the algorithm in maple and was able to get approximate solutions for second order ...
How to calculate the number of all squares possible in a 3/4 of a chessboard?( or some other fraction) [closed],0,15,-1,elementary-number-theory,1,2023,"I calculated it to be 124. I considered the half of the chess board once, and the 1/4 as another. But I think I might have made some error of not considering the squares that would overlap the two  ..."
Basic question about joint and conditional probabilities,0,19,0,probability,654,2023,"Let's assume that BB is dependent on σ2σ2 and yy.
I tried to show whether both statements are correct, but I actually don't even know where to start.
$\begin{aligned} & P\left(\beta \mid \..."
Probability density contour of bivariate normal distribution,0,10,0,geometric-probability,1,2023,"I have a bivariate normal distribution and I want to determine the axes of the ellipse that will contain 60% probability. According to my textbok, It follows from the spectral decomposition of the ..."
When is the half-sum of positive roots a character?,0,34,0,representation-theory,301,2023,"I am trying to understand how the Weyl character formula works for GL_n.
In Milne's Algebraic groups, he gives the character formula in the following setting :
Let GG be a connected split reductive ..."
Number of possible movements,2,67,-1,combinatorics,544,2023,"In a certain exercise of a previous exam, there was a question introduced regarding a safe-deposit box. The ""password"" or combination of movements that open the box consist on the following: ..."
German MO combinatorics problem 1995,2,422,4,combinatorics,75,2023,"I found this old German MO problem in a book but no answer is given.
Here is the problem : Prove that for all integers kk and nn with 1≤k≤2n1≤k≤2n :
$$\binom{2n+1}{k-1}+\binom{2n+1}{k+1}\ge 2\cdot ..."
Kernel of ψ:U24→U4×U6ψ:U24→U4×U6,0,37,0,abstract-algebra,181,2023,"Consider ψ:U24→U4×U6ψ:U24→U4×U6 such that ψ(x)=(x,x)ψ(x)=(x,x). Determine its kernel.

To determine its kernel, I wrote that:
$\psi(x)=(\bar{1}_{4},\bar{1}_{6})\iff (x,x)=(\bar{1}_{4},\bar{1}_{6})..."
Is this a gradient field?,1,43,0,real-analysis,79,2023,"Let R=(−1/23–√/2−3–√/2−1/2)R=(−1/2−3/23/2−1/2)
be a rotation matrix and A(x)=−x2dx1+x1dx2A(x)=−x2dx1+x1dx2 a differential form, then since $dA = 2 dx_1 \wedge ..."
Universal ring with zero matrix product is an integral domain?,1,87,3,abstract-algebra,No detail available,2023,"Let n≥0n≥0. The universal commutative ring which has two n×nn×n-matrices whose product is zero is
$$\textstyle R := \mathbb{Z}[(X_{ij})_{1 \leq i,j \leq n}, (Y_{ij})_{1 \leq i,j \leq n}] / \..."
Understanding the construction of group extension,0,47,2,abstract-algebra,349,2023,"Definition: Suppose GG is a group with normal subgroup HH and that G/H≅KG/H≅K then GG is an extension of HH by KK
Let ϕϕ be an isomorphism of G/HG/H onto KK. Let XX be a left transversal ..."
Number of subsets with specified intersection,0,20,1,combinatorics,544,2023,"In a certain question I am asked to find how many possible subsets A,B⊂{1…n}A,B⊂{1…n} are there, given that the intersection of AA and BB, A∩BA∩B must have one element. There is no ..."
Are there more reliable formulas for finding global minima? [closed],1,71,0,calculus,111,2023,"I was playing around with Desmos today and came up with this formula for finding global minima:

It works by descending until it finds a negative value. The same method could work with multiple ..."
Does this Euclidean geometry problem to find an angle have an elementary solution?,1,65,2,euclidean-geometry,"2,839",2023,"Here is a geometry problem posted on MathematicsArt and the Facebook feed Art of Mathematics.
Let ABCABC be a triangle. Let PP be on ABAB so that CP⊥ABCP⊥AB. Let DD be on CPCP so that $\angle PAD=\..."
population growth problem [closed],0,28,-2,calculus,11,2023,"Suppose that bacteria growth is modeled by the DE.
Suppose that the number of bacteria is observed to double after 4 days, and the estimated carrying capacity is
19 times the initial population. What ..."
Maximizing the summation of variables provided a constraint [closed],0,35,0,combinatorics,1,2023,"What I mean is that I have n,n1,n2n,n1,n2 and n3n3 such that n=a∗n1+b∗n2+c∗n3n=a∗n1+b∗n2+c∗n3 and I want a+b+ca+b+c to be max.
For example : n=5,n1=5,n2=2,n3=3n=5,n1=5,n2=2,n3=3. Thus, a=0,b=1a=0,b=1 and c=1c=1 ..."
Composition of relations of an image. Prove: (ρ2∘ρ1)(A)=ρ2(ρ1(A))(ρ2∘ρ1)(A)=ρ2(ρ1(A)),1,33,0,elementary-set-theory,"1,735",2023,"ρ1⊆S1×S2ρ1⊆S1×S2 and ρ2⊆S2×S3ρ2⊆S2×S3 are some arbitrary binary relations and A⊆S1A⊆S1 some set, then (ρ2∘ρ1)(A)=ρ2(ρ1(A))(ρ2∘ρ1)(A)=ρ2(ρ1(A)). How to prove ..."
Is exex a polynomial expression?,0,78,0,real-analysis,709,2023,"Is exex a polynomial expression?

Definition of Polynomials
A polynomial expression is an expression that can be built from constants and symbols called variables or indeterminates by means of ..."
Triangle inside a unit square.,3,217,9,geometry,189,2023,"Consider a square of size 1 and a triangle of sides aa, bb and cc.
Is there a way to know if the triangle can fit inside the square?
Clearly, if a>2–√a>2 or b>2–√b>2 or c>2–√c>2..."
